steps, health, gold, time, win
550, -49, 220, 299, 0
231, -21, 50, 121, 0
648, 2166, 750, 357, 1
186, -101, 0, 101, 0
309, -67, 0, 167, 0
277, -57, 30, 157, 0
566, -1, 250, 315, 0
458, 2253, 270, 249, 1
245, -32, 0, 132, 0
878, -42, 10, 542, 0
1190, 2524, 430, 699, 1
364, -88, 100, 188, 0
142, -74, 0, 74, 0
317, -74, 70, 174, 0
166, -93, 50, 93, 0
243, -34, 0, 134, 0
297, -67, 0, 167, 0
201, -9, 0, 109, 0
122, -64, 0, 64, 0
247, -38, 60, 138, 0
278, -45, 40, 145, 0
425, -78, 140, 228, 0
269, -49, 10, 149, 0
228, -24, 0, 124, 0
593, 846, 150, 322, 1
560, 119, 140, 313, 1
495, -63, 20, 263, 0
226, -25, 70, 125, 0
801, 149, 590, 452, 1
690, 448, 230, 383, 1
641, -67, 30, 369, 0
174, -3, 70, 103, 0
115, -60, 0, 60, 0
441, -46, 20, 246, 0
187, -1, 40, 101, 0
372, -10, 80, 210, 0
407, -31, 0, 231, 0
161, -86, 0, 86, 0
379, -11, 50, 211, 0
543, -85, 250, 295, 0
281, -54, 60, 154, 0
163, -96, 50, 96, 0
144, -77, 0, 77, 0
364, -6, 80, 206, 0
226, -25, 0, 125, 0
224, -20, 40, 120, 0
323, -85, 0, 185, 0
175, -1, 0, 101, 0
320, -74, 80, 174, 0
170, -96, 60, 96, 0
167, -1, 0, 101, 0
532, 1477, 260, 289, 1
365, -1, 90, 201, 0
262, -39, 40, 139, 0
520, 1977, 270, 283, 1
296, -64, 140, 164, 0
541, 11, 380, 290, 1
378, -13, 90, 213, 0
234, -29, 40, 129, 0
220, -22, 0, 122, 0
359, -94, 40, 194, 0
177, -97, 0, 97, 0
187, -1, 0, 101, 0
310, -73, 210, 173, 0
269, -51, 80, 151, 0
145, -77, 0, 77, 0
238, -25, 70, 125, 0
215, -26, 0, 126, 0
366, -8, 90, 209, 0
579, 304, 290, 316, 1
188, -1, 0, 101, 0
181, -95, 40, 95, 0
295, -62, 60, 162, 0
220, -27, 30, 127, 0
228, -25, 10, 125, 0
253, -39, 80, 139, 0
297, -63, 0, 163, 0
446, -68, 10, 268, 0
294, -65, 0, 165, 0
125, -71, 0, 71, 0
160, -84, 0, 84, 0
273, -47, 120, 147, 0
586, 1599, 280, 319, 1
362, -3, 60, 203, 0
316, -71, 10, 171, 0
281, -52, 80, 152, 0
614, 400, 110, 351, 1
164, -86, 0, 86, 0
1226, 3728, 280, 699, 1
220, -16, 0, 116, 0
152, -82, 0, 82, 0
154, -84, 0, 84, 0
392, -12, 340, 212, 0
381, -101, 70, 201, 0
576, -23, 110, 330, 0
701, -43, 80, 443, 0
351, -1, 40, 201, 0
219, -20, 0, 120, 0
154, -88, 0, 88, 0
94, -48, 0, 48, 0
672, -82, 60, 382, 0
290, -55, 100, 155, 0
87, -48, 0, 48, 0
275, -55, 20, 155, 0
215, -12, 0, 112, 0
994, -30, 10, 588, 0
191, -101, 0, 101, 0
219, -22, 20, 122, 0
679, 2546, 260, 384, 1
198, -4, 0, 104, 0
401, -16, 310, 216, 0
601, -72, 1060, 336, 0
634, 668, 110, 361, 1
345, -1, 260, 201, 0
199, -7, 80, 107, 0
277, -52, 0, 152, 0
675, 38, 340, 382, 1
210, -16, 110, 116, 0
196, -15, 0, 115, 0
594, 88, 200, 331, 1
727, 1176, 190, 406, 1
90, -46, 0, 46, 0
539, 1913, 150, 288, 1
341, -90, 0, 190, 0
276, -54, 0, 154, 0
339, -90, 40, 190, 0
106, -56, 0, 56, 0
401, -52, 400, 230, 0
281, -54, 50, 154, 0
239, -46, 30, 146, 0
409, -28, 420, 228, 0
373, -8, 0, 208, 0
1113, -95, 50, 695, 0
247, -29, 40, 129, 0
320, -73, 10, 173, 0
600, -37, 120, 337, 0
293, -61, 0, 161, 0
430, -30, 80, 230, 0
141, -79, 0, 79, 0
241, -27, 0, 127, 0
109, -59, 0, 59, 0
348, -91, 200, 191, 0
542, 1067, 250, 291, 1
341, -1, 0, 201, 0
236, -24, 0, 124, 0
403, -23, 10, 223, 0
170, -90, 0, 90, 0
302, -59, 10, 159, 0
268, -41, 140, 141, 0
128, -69, 0, 69, 0
232, -24, 10, 124, 0
407, -25, 60, 225, 0
113, -61, 0, 61, 0
824, -99, 50, 499, 0
159, -85, 60, 85, 0
396, -29, 0, 229, 0
244, -37, 0, 137, 0
272, -50, 0, 150, 0
345, -81, 190, 181, 0
347, -90, 100, 190, 0
560, -10, 10, 310, 0
575, -23, 0, 323, 0
375, -6, 130, 206, 0
97, -51, 0, 51, 0
87, -45, 0, 45, 0
218, -17, 40, 117, 0
262, -39, 0, 139, 0
220, -19, 60, 119, 0
305, -59, 10, 159, 0
134, -71, 0, 71, 0
539, -7, 40, 307, 0
476, -62, 40, 263, 0
355, -98, 20, 198, 0
329, -77, 220, 177, 0
437, -36, 200, 236, 0
186, -3, 0, 103, 0
444, -78, 170, 235, 0
363, -10, 0, 210, 0
715, -58, 50, 409, 0
460, -60, 100, 260, 0
187, -100, 0, 100, 0
554, -24, 20, 324, 0
268, -48, 20, 148, 0
317, -84, 30, 184, 0
240, -30, 0, 130, 0
357, -1, 240, 201, 0
1391, 1635, 110, 832, 1
513, 1334, 150, 284, 1
176, -2, 0, 102, 0
163, -89, 0, 89, 0
241, -31, 0, 131, 0
307, -70, 150, 170, 0
486, 93, 270, 269, 1
383, -16, 130, 216, 0
259, -46, 80, 146, 0
216, -14, 20, 114, 0
328, -88, 40, 188, 0
279, -53, 30, 153, 0
179, -93, 0, 93, 0
671, -30, 10, 383, 0
473, -55, 120, 256, 0
101, -54, 0, 54, 0
