2016-11-17 17:28:14,945 INFO:Logging init parameters : {'filename': './GA.log', 'format': '%(asctime)s %(levelname)s:%(message)s', 'level': 20, 'filemode': 'w'}
2016-11-17 17:28:14,946 INFO:Model 0 inititalized
2016-11-17 17:29:08,786 INFO:Waypoints : 141, Coverage 22.741935%
2016-11-17 17:29:08,789 INFO:Waypoints : 142, Coverage 22.903226%
2016-11-17 17:29:08,789 INFO:Waypoints : 142, Coverage 22.903226%
2016-11-17 17:29:08,792 INFO:Waypoints : 143, Coverage 23.064516%
2016-11-17 17:29:08,793 INFO:Waypoints : 144, Coverage 23.225806%
2016-11-17 17:29:08,795 INFO:Waypoints : 144, Coverage 23.225806%
2016-11-17 17:29:08,796 INFO:Waypoints : 145, Coverage 23.387097%
2016-11-17 17:29:08,798 INFO:Waypoints : 146, Coverage 23.548387%
2016-11-17 17:29:08,799 INFO:Waypoints : 147, Coverage 23.709677%
2016-11-17 17:29:08,802 INFO:Waypoints : 148, Coverage 23.870968%
2016-11-17 17:29:08,802 INFO:Waypoints : 149, Coverage 24.032258%
2016-11-17 17:29:08,838 INFO:Waypoints : 150, Coverage 24.193548%
2016-11-17 17:29:08,839 INFO:Waypoints : 151, Coverage 24.354839%
2016-11-17 17:29:08,842 INFO:Waypoints : 152, Coverage 24.516129%
2016-11-17 17:29:08,842 INFO:Waypoints : 153, Coverage 24.677419%
2016-11-17 17:29:08,845 INFO:Waypoints : 154, Coverage 24.838710%
2016-11-17 17:29:08,846 INFO:Waypoints : 155, Coverage 25.000000%
2016-11-17 17:29:08,846 INFO:====================
2016-11-17 17:29:08,848 INFO:= GENETIC  PATHING =
2016-11-17 17:29:08,848 INFO:====================
2016-11-17 17:29:08,848 INFO:    generations : 100
2016-11-17 17:29:08,848 INFO:     inital pop : 200
2016-11-17 17:29:08,848 INFO:       pop size : 100
2016-11-17 17:29:08,848 INFO:  mutation rate : 0.1
2016-11-17 17:29:08,848 INFO:      grow rate : 0.2
2016-11-17 17:29:08,848 INFO:Path 0 found
2016-11-17 17:29:08,848 INFO:Path 1 found
2016-11-17 17:29:08,849 INFO:Path 2 found
2016-11-17 17:29:08,851 INFO:Path 3 found
2016-11-17 17:29:08,851 INFO:Path 4 found
2016-11-17 17:29:08,851 INFO:Path 5 found
2016-11-17 17:29:08,852 INFO:Path 6 found
2016-11-17 17:29:08,852 INFO:Path 7 found
2016-11-17 17:29:08,854 INFO:Path 8 found
2016-11-17 17:29:08,855 INFO:Path 9 found
